0,0,0,0
0,0,0,0
0,0,0,0
6,6,8,255
6,6,8,255
6,6,8,255
6,6,8,255
6,6,8,255
6,6,8,255
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
6,6,8,255
6,6,8,255
115,23,45,255
180,32,42,255
180,32,42,255
180,32,42,255
6,6,8,255
6,6,8,255
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
6,6,8,255
6,6,8,255
115,23,45,255
180,32,42,255
232,106,115,255
232,106,115,255
232,106,115,255
180,32,42,255
6,6,8,255
6,6,8,255
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
6,6,8,255
115,23,45,255
180,32,42,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
180,32,42,255
6,6,8,255
6,6,8,255
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
6,6,8,255
180,32,42,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
180,32,42,255
6,6,8,255
6,6,8,255
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
6,6,8,255
180,32,42,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
180,32,42,255
6,6,8,255
6,6,8,255
0,0,0,0
0,0,0,0
0,0,0,0
6,6,8,255
6,6,8,255
180,32,42,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
180,32,42,255
6,6,8,255
6,6,8,255
0,0,0,0
0,0,0,0
0,0,0,0
6,6,8,255
6,6,8,255
180,32,42,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
180,32,42,255
6,6,8,255
0,0,0,0
0,0,0,0
0,0,0,0
6,6,8,255
6,6,8,255
180,32,42,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
180,32,42,255
6,6,8,255
0,0,0,0
0,0,0,0
6,6,8,255
6,6,8,255
180,32,42,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
180,32,42,255
6,6,8,255
6,6,8,255
0,0,0,0
0,0,0,0
6,6,8,255
180,32,42,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
180,32,42,255
6,6,8,255
6,6,8,255
0,0,0,0
0,0,0,0
0,0,0,0
6,6,8,255
180,32,42,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
180,32,42,255
6,6,8,255
6,6,8,255
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
6,6,8,255
115,23,45,255
180,32,42,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
232,106,115,255
180,32,42,255
6,6,8,255
6,6,8,255
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
6,6,8,255
6,6,8,255
115,23,45,255
180,32,42,255
232,106,115,255
232,106,115,255
232,106,115,255
180,32,42,255
6,6,8,255
6,6,8,255
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
6,6,8,255
6,6,8,255
115,23,45,255
180,32,42,255
180,32,42,255
180,32,42,255
6,6,8,255
6,6,8,255
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
6,6,8,255
6,6,8,255
6,6,8,255
6,6,8,255
6,6,8,255
6,6,8,255
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
